localite,pays,lat,lon,nb_projets,thematiques,periode
Tongue,GIN,11.44,-11.67,5,agri eau,2010-2020
Pita,GIN,11.08,-12.401,6,migr,2010-2020
Dalaba,GIN,10.656,-12.272,3,alim energie,2010-2020
Dinguiraye,GIN,11.299,-10.726,5,eau eco,2010-2020
Dabola,GIN,10.748,-11.109,9,migr agri,2010-2020
Louga,SEN,15.6104,-16.25,6,energie eau agri,2010-2020
Bogue,MRT,16.5904,-14.27,8,elev jeun eau,2010-2020
Sélibaby,MRT,15.167,-12.1833,5,agri energie,2010-2020
Kati,MLI,12.7504,-8.08,7,migr alim,2010-2020
Kangaba,MLI,11.9404,-8.44,4,eco,2010-2020
Bafoulabé,MLI,13.8004,-10.82,2,elev energie,2010-2020
Satadougou,MLI,12.617,-11.4066,1,energie alim,2010-2020
Mamou,GIN,10.3804,-12.1,8,eco energie migr,2010-2020
Saint-Louis,MRT,16.02,-16.51,9,energie alim eco,2010-2020
Rosso,MRT,16.524,-15.8127,5,elev eco agri,2010-2020
Kaédi,SEN,16.15,-13.5,7,elev eco,2010-2020
Kayes,MLI,14.45,-11.44,5,energie,2010-2020
