code,nom,region,region_nom,pays,pays_nom,source_id
SN-R01,Kédougou,SN-R01,Kédougou,SEN,Sénégal,SEN-5515
SN-R02,Louga,SN-R02,Louga,SEN,Sénégal,SEN-766
SN-R03,Matam,SN-R03,Matam,SEN,Sénégal,SEN-767
SN-R04,Saint-Louis,SN-R04,Saint-Louis,SEN,Sénégal,SEN-5517
SN-R05,Tambacounda,SN-R05,Tambacounda,SEN,Sénégal,SEN-779
MR-R01,Brakna,MR-R01,Brakna,MRT,Mauritanie,MRT-2784
MR-R02,Gorgol,MR-R02,Gorgol,MRT,Mauritanie,MRT-2791
MR-R03,Guidimaka,MR-R03,Guidimaka,MRT,Mauritanie,MRT-2790
MR-R04,Trarza,MR-R04,Trarza,MRT,Mauritanie,MRT-2788
ML-R01,Kayes,ML-R01,Kayes,MLI,Mali,MLI-2793
ML-R02,Koulikoro,ML-R02,Koulikoro,MLI,Mali,MLI-4860
GN-R01,Dabola,GN-R01,Dabola,GIN,Guinée,GIN-5632
GN-R02,Dalaba,GN-R02,Dalaba,GIN,Guinée,GIN-5633
GN-R03,Dinguiraye,GN-R03,Dinguiraye,GIN,Guinée,GIN-5634
GN-R04,Koubia,GN-R04,Koubia,GIN,Guinée,GIN-5645
GN-R05,Mali,GN-R05,Mali,GIN,Guinée,GIN-5652
GN-R06,Mamou,GN-R06,Mamou,GIN,Guinée,GIN-5653
GN-R07,Siguiri,GN-R07,Siguiri,GIN,Guinée,GIN-5657
GN-R08,Tougué,GN-R08,Tougué,GIN,Guinée,GIN-5658
